AirportName,Number of Departures,Number of Connections,Year,Lat Airport,Lng Airport,Provinces
WEBEQUIE,365,4,2018,52.962098,-87.373893,ON
BIG TROUT LAKE,863,6,2018,53.818763,-89.83509289999999,ON
PICKLE LAKE,626,5,2018,51.44695249999999,-90.21150349999999,ON
MUSKRAT DAM,488,4,2018,53.44177089999999,-91.761989,ON
KITCHENER,355,1,2018,43.4557903,-80.3858475,ON
FOND DU LAC,21,3,2018,43.7696897,-88.4842863,ON
KASABONIKA,625,6,2018,53.524722,-88.642778,ON
GATINEAU,446,1,2018,45.5209515,-75.56147469999999,ON
PEAWANUCK,104,1,2018,54.98932600000001,-85.43906609999999,ON
ATTAWAPISKAT,643,3,2018,52.9265542,-82.4304748,ON
REPULSE BAY,630,4,2018,43.67771760000001,-79.6248197,ON
NORTH BAY,2544,5,2004,46.3572071,-79.4270197,ON
SHAMATTAWA,661,6,2018,55.85942,-92.08208599999999,ON
SANDY LAKE,2371,14,2018,53.0641646,-93.3444368,ON
SACHIGO LAKE,1108,13,2018,53.0641646,-93.3444368,ON
PIKANGIKUM,1808,13,2018,51.820011,-93.974114,ON
ISLAND LAKE/GARDEN HILL,1432,6,2018,41.9741625,-87.9073214,ON
CAT LAKE,477,6,2018,51.7265404,-91.8282928,ON
SARNIA,1375,1,2018,42.9932232,-82.3062709,ON
GODS RIVER,628,2,2004,54.838142,-94.0564339,ON
BIG TROUT LAKE,693,5,2014,53.818763,-89.83509289999999,ON
VAL D'OR,3073,10,2018,48.05348799999999,-77.783177,ON
ROUYN,2912,9,2018,48.2119059,-78.8292605,ON
KINGSTON,1674,1,2018,44.22349,-76.599458,ON
WASKAGANISH,1292,5,2008,51.4756741,-78.751764,ON
SAULT STE-MARIE,4315,4,2018,46.485279,-84.500438,ON
OTTAWA INTL,40076,78,2018,45.319212,-75.66916520000001,ON
LANDSDOWNE HOUSE,257,4,2017,52.197559,-87.9351437,ON
FORT SEVERN,314,2,2017,56.0186303,-87.67922539999999,ON
EASTMAIN,720,2,2012,52.23078460000001,-78.5195816,ON
OTTAWA INTL,46265,101,2012,45.319212,-75.66916520000001,ON
MUSKRAT DAM,595,4,2016,53.44177089999999,-91.761989,ON
SANDY LAKE,562,6,2007,53.0641646,-93.3444368,ON
CAT LAKE,540,2,2010,51.7265404,-91.8282928,ON
MUSKRAT DAM,557,6,2007,53.44177089999999,-91.761989,ON
EASTMAIN,477,2,2017,52.23078460000001,-78.5195816,ON
SIOUX LOOKOUT,2665,8,2006,50.1151029,-91.9027131,ON
WASKAGANISH,1040,4,2017,51.4756741,-78.751764,ON
PEAWANUCK,103,1,2007,54.98932600000001,-85.43906609999999,ON
TIMMINS,4750,4,2008,48.566513,-81.37204299999999,ON
RED LAKE,3022,10,2017,51.0669864,-93.7941053,ON
KENORA,810,2,2017,49.7867097,-94.3657982,ON
KINGSTON,1633,1,2004,44.22349,-76.599458,ON
SAULT STE-MARIE,5396,6,2011,46.485279,-84.500438,ON
UMIUJAQ,829,3,2017,56.5392892,-76.5204693,ON
OTTAWA INTL,32935,55,2003,45.319212,-75.66916520000001,ON
KUUJJUARAPIK,1375,6,2017,55.2828293,-77.7581727,ON
UMIUJAQ,724,3,2013,56.5392892,-76.5204693,ON
GODS NARROWS,1306,4,2017,54.5534811,-94.4816864,ON
LANDSDOWNE HOUSE,2025,4,2010,52.197559,-87.9351437,ON
SARNIA,1372,1,2017,42.9932232,-82.3062709,ON
SANIKILUAQ,282,2,2011,56.53598599999999,-79.2461486,ON
LESTER B. PEARSON,221899,416,2018,43.67771760000001,-79.6248197,ON
VAL D'OR,2871,9,2017,48.05348799999999,-77.783177,ON
ROUYN,2023,7,2017,48.2119059,-78.8292605,ON
ROUYN,1632,5,2007,48.2119059,-78.8292605,ON
SUDBURY,8666,6,2008,46.6228445,-80.7956531,ON
WINDSOR,3322,13,2017,42.2715029,-82.9582822,ON
SUDBURY,6253,10,2013,46.6228445,-80.7956531,ON
NORTH BAY,2330,3,2006,46.3572071,-79.4270197,ON
HAMILTON,4737,31,2017,43.1685644,-79.9288234,ON
SARNIA,1251,1,2008,42.9932232,-82.3062709,ON
KINGSTON,1773,1,2017,44.22349,-76.599458,ON
OTTAWA INTL,38375,88,2017,45.319212,-75.66916520000001,ON
WEBEQUIE,563,6,2016,52.962098,-87.373893,ON
BIG TROUT LAKE,867,7,2016,53.818763,-89.83509289999999,ON
PICKLE LAKE,562,5,2016,51.44695249999999,-90.21150349999999,ON
CAT LAKE,304,5,2016,51.7265404,-91.8282928,ON
DRYDEN,2048,4,2007,49.8317438,-92.7445381,ON
KASABONIKA,362,5,2016,53.524722,-88.642778,ON
KINGSTON,2157,2,2016,44.22349,-76.599458,ON
FORT ALBANY,622,2,2009,52.2052291,-81.6882971,ON
WINDSOR,3452,16,2018,42.2715029,-82.9582822,ON
MUSKRAT DAM,722,3,2010,53.44177089999999,-91.761989,ON
WEMINDJI,624,2,2016,53.01061259999999,-78.8309781,ON
MOOSONEE,1249,3,2016,51.2897031,-80.6127405,ON
WASKAGANISH,1276,6,2016,51.4756741,-78.751764,ON
FORT ALBANY,662,2,2016,52.2052291,-81.6882971,ON
EASTMAIN,723,2,2013,52.23078460000001,-78.5195816,ON
REPULSE BAY,583,6,2016,43.67771760000001,-79.6248197,ON
NORTH BAY,2283,6,2016,46.3572071,-79.4270197,ON
SUDBURY,4919,7,2016,46.6228445,-80.7956531,ON
KENORA,797,2,2016,49.7867097,-94.3657982,ON
WINDSOR,3223,7,2013,42.2715029,-82.9582822,ON
DRYDEN,1160,5,2016,49.8317438,-92.7445381,ON
FORT FRANCES,1113,4,2016,48.654167,-93.439722,ON
HOLMAN,294,3,2016,44.9334686,-93.0601241,ON
SANIKILUAQ,440,3,2016,56.53598599999999,-79.2461486,ON
WEBEQUIE,692,5,2013,52.962098,-87.373893,ON
SHAMATTAWA,680,3,2016,55.85942,-92.08208599999999,ON
LANDSDOWNE HOUSE,736,3,2012,52.197559,-87.9351437,ON
SACHIGO LAKE,490,7,2016,53.0641646,-93.3444368,ON
RED SUCKER LAKE,706,4,2016,54.1689608,-93.563234,ON
PIKANGIKUM,1188,9,2016,51.820011,-93.974114,ON
GODS NARROWS,1305,4,2016,54.5534811,-94.4816864,ON
SAULT STE-MARIE,4425,6,2017,46.485279,-84.500438,ON
FORT ALBANY,620,2,2007,52.2052291,-81.6882971,ON
FORT ALBANY,618,2,2010,52.2052291,-81.6882971,ON
WINDSOR,3581,16,2016,42.2715029,-82.9582822,ON
SACHIGO LAKE,327,3,2015,53.0641646,-93.3444368,ON
LESTER B. PEARSON,211148,534,2016,43.67771760000001,-79.6248197,ON
KITCHENER,889,6,2016,43.4557903,-80.3858475,ON
FORT HOPE,338,3,2015,51.561711,-87.906953,ON
SANDY LAKE,1098,7,2008,53.0641646,-93.3444368,ON
CAT LAKE,313,3,2015,51.7265404,-91.8282928,ON
GATINEAU,60,2,2015,45.5209515,-75.56147469999999,ON
KASABONIKA,615,3,2015,53.524722,-88.642778,ON
PEAWANUCK,103,1,2012,54.98932600000001,-85.43906609999999,ON
WEMINDJI,563,3,2017,53.01061259999999,-78.8309781,ON
ROUYN,1534,6,2015,48.2119059,-78.8292605,ON
HOLMAN,311,3,2014,44.9334686,-93.0601241,ON
GILLAM,620,2,2017,56.357051,-94.705728,ON
NORTH BAY,3307,6,2012,46.3572071,-79.4270197,ON
SIOUX LOOKOUT,7818,22,2013,50.1151029,-91.9027131,ON
HOLMAN,261,3,2018,44.9334686,-93.0601241,ON
SARNIA,1194,2,2015,42.9932232,-82.3062709,ON
GODS RIVER,971,6,2017,54.838142,-94.0564339,ON
KINGSTON,2546,2,2015,44.22349,-76.599458,ON
EASTMAIN,666,2,2015,52.23078460000001,-78.5195816,ON
WEMINDJI,666,2,2015,53.01061259999999,-78.8309781,ON
WASKAGANISH,1343,6,2015,51.4756741,-78.751764,ON
MOOSONEE,934,2,2012,51.2897031,-80.6127405,ON
CAT LAKE,574,2,2013,51.7265404,-91.8282928,ON
REPULSE BAY,400,7,2015,43.67771760000001,-79.6248197,ON
CAT LAKE,573,2,2011,51.7265404,-91.8282928,ON
GILLAM,625,2,2015,56.357051,-94.705728,ON
FORT SEVERN,313,2,2009,56.0186303,-87.67922539999999,ON
SUDBURY,5460,7,2017,46.6228445,-80.7956531,ON
KITCHENER,2206,5,2013,43.4557903,-80.3858475,ON
KENORA,799,3,2015,49.7867097,-94.3657982,ON
DRYDEN,1073,5,2015,49.8317438,-92.7445381,ON
SAULT STE-MARIE,4431,4,2015,46.485279,-84.500438,ON
SIOUX LOOKOUT,9488,43,2017,50.1151029,-91.9027131,ON
UMIUJAQ,827,3,2016,56.5392892,-76.5204693,ON
SANIKILUAQ,430,3,2015,56.53598599999999,-79.2461486,ON
KUUJJUARAPIK,1367,6,2015,55.2828293,-77.7581727,ON
GODS RIVER,111,6,2015,54.838142,-94.0564339,ON
PIKANGIKUM,745,8,2015,51.820011,-93.974114,ON
GODS NARROWS,173,4,2015,54.5534811,-94.4816864,ON
WINDSOR,2272,1,2008,42.2715029,-82.9582822,ON
UMIUJAQ,826,3,2018,56.5392892,-76.5204693,ON
LESTER B. PEARSON,205615,479,2015,43.67771760000001,-79.6248197,ON
THUNDER BAY,10679,12,2006,48.37426019999999,-89.3194986,ON
SACHIGO LAKE,476,2,2014,53.0641646,-93.3444368,ON
WEBEQUIE,580,5,2014,52.962098,-87.373893,ON
CAT LAKE,378,6,2017,51.7265404,-91.8282928,ON
LANDSDOWNE HOUSE,561,4,2014,52.197559,-87.9351437,ON
CAT LAKE,476,3,2014,51.7265404,-91.8282928,ON
KASABONIKA,510,6,2014,53.524722,-88.642778,ON
ROUYN,1490,3,2010,48.2119059,-78.8292605,ON
ALMA,232,2,2014,43.323929,-84.6883677,ON
WINDSOR,2340,4,2010,42.2715029,-82.9582822,ON
NEMISCAU,270,2,2018,51.69103699999999,-76.13552589999999,ON
KAPUSKASING,293,1,2016,49.418308,-82.4701367,ON
DRYDEN,1173,5,2018,49.8317438,-92.7445381,ON
KENORA,1370,3,2006,49.7867097,-94.3657982,ON
MOOSONEE,1128,3,2007,51.2897031,-80.6127405,ON
EASTMAIN,722,2,2014,52.23078460000001,-78.5195816,ON
SANDY LAKE,773,5,2014,53.0641646,-93.3444368,ON
PEAWANUCK,103,1,2014,54.98932600000001,-85.43906609999999,ON
NEMISCAU,516,2,2014,51.69103699999999,-76.13552589999999,ON
SACHIGO LAKE,931,9,2017,53.0641646,-93.3444368,ON
MOOSONEE,1025,3,2014,51.2897031,-80.6127405,ON
ATTAWAPISKAT,412,2,2014,52.9265542,-82.4304748,ON
REPULSE BAY,551,8,2014,43.67771760000001,-79.6248197,ON
KITCHENER,564,1,2004,43.4557903,-80.3858475,ON
GILLAM,602,2,2014,56.357051,-94.705728,ON
KINGSTON,2536,3,2014,44.22349,-76.599458,ON
KAPUSKASING,459,2,2014,49.418308,-82.4701367,ON
SUDBURY,5242,10,2014,46.6228445,-80.7956531,ON
RED LAKE,3576,9,2014,51.0669864,-93.7941053,ON
KENORA,1019,4,2014,49.7867097,-94.3657982,ON
KITCHENER,1273,6,2014,43.4557903,-80.3858475,ON
DRYDEN,1364,5,2014,49.8317438,-92.7445381,ON
FORT FRANCES,1086,3,2014,48.654167,-93.439722,ON
UMIUJAQ,726,3,2014,56.5392892,-76.5204693,ON
LESTER B. PEARSON,217743,414,2017,43.67771760000001,-79.6248197,ON
SANIKILUAQ,430,3,2014,56.53598599999999,-79.2461486,ON
HOLMAN,312,3,2012,44.9334686,-93.0601241,ON
WASKAGANISH,1289,5,2007,51.4756741,-78.751764,ON
FORT FRANCES,1314,2,2005,48.654167,-93.439722,ON
PIKANGIKUM,1028,6,2013,51.820011,-93.974114,ON
FORT SEVERN,307,4,2013,56.0186303,-87.67922539999999,ON
KASABONIKA,654,5,2013,53.524722,-88.642778,ON
OTTAWA INTL,37736,115,2016,45.319212,-75.66916520000001,ON
PEAWANUCK,103,1,2017,54.98932600000001,-85.43906609999999,ON
MUSKRAT DAM,104,1,2006,53.44177089999999,-91.761989,ON
SANDY LAKE,2440,16,2017,53.0641646,-93.3444368,ON
KAPUSKASING,305,1,2015,49.418308,-82.4701367,ON
KUUJJUARAPIK,1254,10,2004,55.2828293,-77.7581727,ON
GILLAM,312,1,2005,56.357051,-94.705728,ON
FORT ALBANY,622,2,2008,52.2052291,-81.6882971,ON
MUSKRAT DAM,404,4,2015,53.44177089999999,-91.761989,ON
SARNIA,1210,1,2013,42.9932232,-82.3062709,ON
EASTMAIN,676,2,2011,52.23078460000001,-78.5195816,ON
KINGSTON,2428,2,2013,44.22349,-76.599458,ON
RED LAKE,2023,4,2006,51.0669864,-93.7941053,ON
KASABONIKA,826,9,2007,53.524722,-88.642778,ON
NEMISCAU,520,2,2016,51.69103699999999,-76.13552589999999,ON
VAL D'OR,2250,7,2013,48.05348799999999,-77.783177,ON
NEMISCAU,517,2,2013,51.69103699999999,-76.13552589999999,ON
WEMINDJI,723,2,2013,53.01061259999999,-78.8309781,ON
FORT ALBANY,620,2,2013,52.2052291,-81.6882971,ON
RED SUCKER LAKE,756,4,2017,54.1689608,-93.563234,ON
REPULSE BAY,589,6,2013,43.67771760000001,-79.6248197,ON
HAMILTON,5141,25,2008,43.1685644,-79.9288234,ON
KAPUSKASING,1021,3,2013,49.418308,-82.4701367,ON
TIMMINS,5370,5,2013,48.566513,-81.37204299999999,ON
RED LAKE,4005,9,2013,51.0669864,-93.7941053,ON
DRYDEN,1715,4,2013,49.8317438,-92.7445381,ON
HAMILTON,2827,25,2015,43.1685644,-79.9288234,ON
SAULT STE-MARIE,5251,8,2013,46.485279,-84.500438,ON
FORT FRANCES,1112,2,2013,48.654167,-93.439722,ON
FORT FRANCES,1232,2,2006,48.654167,-93.439722,ON
ISLAND LAKE/GARDEN HILL,1399,3,2017,41.9741625,-87.9073214,ON
KUUJJUARAPIK,1226,7,2013,55.2828293,-77.7581727,ON
WEMINDJI,722,2,2014,53.01061259999999,-78.8309781,ON
SANDY LAKE,1473,8,2009,53.0641646,-93.3444368,ON
OTTAWA INTL,42150,102,2013,45.319212,-75.66916520000001,ON
SACHIGO LAKE,574,2,2012,53.0641646,-93.3444368,ON
NORTH BAY,1924,3,2018,46.3572071,-79.4270197,ON
PICKLE LAKE,446,2,2012,51.44695249999999,-90.21150349999999,ON
FORT HOPE,801,3,2012,51.561711,-87.906953,ON
MUSKRAT DAM,762,3,2012,53.44177089999999,-91.761989,ON
SHAMATTAWA,302,3,2009,55.85942,-92.08208599999999,ON
SARNIA,1269,1,2012,42.9932232,-82.3062709,ON
PIKANGIKUM,1613,10,2017,51.820011,-93.974114,ON
TIMMINS,4560,4,2006,48.566513,-81.37204299999999,ON
FORT SEVERN,313,2,2010,56.0186303,-87.67922539999999,ON
GILLAM,614,2,2018,56.357051,-94.705728,ON
SIOUX LOOKOUT,9752,49,2018,50.1151029,-91.9027131,ON
PICKLE LAKE,412,7,2004,51.44695249999999,-90.21150349999999,ON
FORT ALBANY,616,2,2011,52.2052291,-81.6882971,ON
WINDSOR,3065,5,2012,42.2715029,-82.9582822,ON
KINGSTON,2263,2,2012,44.22349,-76.599458,ON
GODS NARROWS,1898,6,2007,54.5534811,-94.4816864,ON
GODS RIVER,889,6,2016,54.838142,-94.0564339,ON
LANDSDOWNE HOUSE,2338,6,2008,52.197559,-87.9351437,ON
SANDY LAKE,1015,5,2013,53.0641646,-93.3444368,ON
PEAWANUCK,104,1,2013,54.98932600000001,-85.43906609999999,ON
NEMISCAU,518,2,2015,51.69103699999999,-76.13552589999999,ON
KASABONIKA,208,2,2006,53.524722,-88.642778,ON
NEMISCAU,516,2,2012,51.69103699999999,-76.13552589999999,ON
SUDBURY,5225,9,2015,46.6228445,-80.7956531,ON
FORT ALBANY,618,2,2012,52.2052291,-81.6882971,ON
ATTAWAPISKAT,412,2,2012,52.9265542,-82.4304748,ON
REPULSE BAY,782,6,2012,43.67771760000001,-79.6248197,ON
GILLAM,588,2,2012,56.357051,-94.705728,ON
SARNIA,1370,1,2016,42.9932232,-82.3062709,ON
SIOUX LOOKOUT,8096,22,2012,50.1151029,-91.9027131,ON
SUDBURY,8128,10,2012,46.6228445,-80.7956531,ON
THUNDER BAY,10581,18,2017,48.37426019999999,-89.3194986,ON
RED LAKE,3983,11,2012,51.0669864,-93.7941053,ON
GILLAM,313,1,2006,56.357051,-94.705728,ON
HAMILTON,2892,16,2012,43.1685644,-79.9288234,ON
KINGSTON,1547,2,2005,44.22349,-76.599458,ON
FORT FRANCES,1155,2,2012,48.654167,-93.439722,ON
WINDSOR,3721,10,2015,42.2715029,-82.9582822,ON
KUUJJUARAPIK,1295,7,2014,55.2828293,-77.7581727,ON
SANIKILUAQ,314,2,2012,56.53598599999999,-79.2461486,ON
KUUJJUARAPIK,1198,6,2012,55.2828293,-77.7581727,ON
PEAWANUCK,105,1,2009,54.98932600000001,-85.43906609999999,ON
EASTMAIN,622,4,2003,52.23078460000001,-78.5195816,ON
LESTER B. PEARSON,197914,411,2012,43.67771760000001,-79.6248197,ON
FORT FRANCES,1114,3,2018,48.654167,-93.439722,ON
KITCHENER,2043,5,2012,43.4557903,-80.3858475,ON
SACHIGO LAKE,573,2,2011,53.0641646,-93.3444368,ON
FORT HOPE,351,4,2018,51.561711,-87.906953,ON
REPULSE BAY,656,6,2017,43.67771760000001,-79.6248197,ON
BIG TROUT LAKE,1146,6,2011,53.818763,-89.83509289999999,ON
FORT SEVERN,313,2,2011,56.0186303,-87.67922539999999,ON
KASABONIKA,833,5,2011,53.524722,-88.642778,ON
FOND DU LAC,47,1,2011,43.7696897,-88.4842863,ON
MOOSONEE,1132,3,2006,51.2897031,-80.6127405,ON
LANDSDOWNE HOUSE,989,4,2011,52.197559,-87.9351437,ON
LESTER B. PEARSON,184538,396,2009,43.67771760000001,-79.6248197,ON
ALMA,310,2,2011,43.323929,-84.6883677,ON
SAULT STE-MARIE,4203,5,2016,46.485279,-84.500438,ON
DRYDEN,1173,5,2017,49.8317438,-92.7445381,ON
WINDSOR,3028,3,2011,42.2715029,-82.9582822,ON
NAKINA,1044,2,2010,50.1830527,-86.69728219999999,ON
KINGSTON,2352,2,2011,44.22349,-76.599458,ON
HAMILTON,2651,22,2014,43.1685644,-79.9288234,ON
KAPUSKASING,1062,3,2012,49.418308,-82.4701367,ON
FORT SEVERN,313,2,2015,56.0186303,-87.67922539999999,ON
SUDBURY,5531,8,2018,46.6228445,-80.7956531,ON
FORT ALBANY,618,2,2014,52.2052291,-81.6882971,ON
OTTAWA INTL,37017,60,2007,45.319212,-75.66916520000001,ON
DRYDEN,2000,4,2009,49.8317438,-92.7445381,ON
GILLAM,828,2,2009,56.357051,-94.705728,ON
BIG TROUT LAKE,1102,10,2004,53.818763,-89.83509289999999,ON
KASABONIKA,389,5,2017,53.524722,-88.642778,ON
SANDY LAKE,1094,5,2011,53.0641646,-93.3444368,ON
PEAWANUCK,103,1,2011,54.98932600000001,-85.43906609999999,ON
NEMISCAU,514,2,2011,51.69103699999999,-76.13552589999999,ON
RED LAKE,3183,11,2007,51.0669864,-93.7941053,ON
SARNIA,1186,1,2014,42.9932232,-82.3062709,ON
WEMINDJI,676,2,2011,53.01061259999999,-78.8309781,ON
MOOSONEE,967,2,2011,51.2897031,-80.6127405,ON
ATTAWAPISKAT,411,2,2011,52.9265542,-82.4304748,ON
FORT ALBANY,764,2,2004,52.2052291,-81.6882971,ON
DRYDEN,2029,6,2012,49.8317438,-92.7445381,ON
REPULSE BAY,684,5,2011,43.67771760000001,-79.6248197,ON
GILLAM,567,2,2011,56.357051,-94.705728,ON
KAPUSKASING,1112,1,2011,49.418308,-82.4701367,ON
THUNDER BAY,10432,17,2018,48.37426019999999,-89.3194986,ON
SIOUX LOOKOUT,7896,21,2011,50.1151029,-91.9027131,ON
TIMMINS,4437,4,2011,48.566513,-81.37204299999999,ON
SUDBURY,7708,10,2011,46.6228445,-80.7956531,ON
RED LAKE,3181,10,2016,51.0669864,-93.7941053,ON
KITCHENER,2066,3,2011,43.4557903,-80.3858475,ON
DRYDEN,1955,8,2011,49.8317438,-92.7445381,ON
FORT FRANCES,1221,2,2011,48.654167,-93.439722,ON
HOLMAN,310,2,2011,44.9334686,-93.0601241,ON
PICKLE LAKE,471,3,2013,51.44695249999999,-90.21150349999999,ON
GATINEAU,146,2,2017,45.5209515,-75.56147469999999,ON
FORT HOPE,864,4,2013,51.561711,-87.906953,ON
VAL D'OR,2690,8,2015,48.05348799999999,-77.783177,ON
KUUJJUARAPIK,1219,5,2011,55.2828293,-77.7581727,ON
VAL D'OR,2588,9,2016,48.05348799999999,-77.783177,ON
THUNDER BAY,11015,21,2011,48.37426019999999,-89.3194986,ON
OTTAWA INTL,46273,88,2011,45.319212,-75.66916520000001,ON
LESTER B. PEARSON,192335,373,2011,43.67771760000001,-79.6248197,ON
SACHIGO LAKE,549,3,2010,53.0641646,-93.3444368,ON
PICKLE LAKE,494,2,2010,51.44695249999999,-90.21150349999999,ON
SARNIA,1153,1,2010,42.9932232,-82.3062709,ON
NAKINA,1035,2,2005,50.1830527,-86.69728219999999,ON
ALMA,100,2,2010,43.323929,-84.6883677,ON
KASABONIKA,841,5,2010,53.524722,-88.642778,ON
WEBEQUIE,1425,5,2010,52.962098,-87.373893,ON
GODS NARROWS,1237,8,2018,54.5534811,-94.4816864,ON
FORT HOPE,2668,6,2010,51.561711,-87.906953,ON
FORT FRANCES,1210,2,2010,48.654167,-93.439722,ON
ATTAWAPISKAT,414,2,2013,52.9265542,-82.4304748,ON
KINGSTON,2462,2,2010,44.22349,-76.599458,ON
WEBEQUIE,2076,10,2008,52.962098,-87.373893,ON
SUDBURY,5936,9,2003,46.6228445,-80.7956531,ON
KASABONIKA,1150,7,2009,53.524722,-88.642778,ON
OTTAWA INTL,41565,73,2008,45.319212,-75.66916520000001,ON
STE THERESE POINT,65923,140,2015,53.8566437,-94.6524738,ON
NEMISCAU,516,2,2010,51.69103699999999,-76.13552589999999,ON
MOOSONEE,1089,3,2010,51.2897031,-80.6127405,ON
WASKAGANISH,1250,5,2010,51.4756741,-78.751764,ON
ATTAWAPISKAT,411,2,2010,52.9265542,-82.4304748,ON
SAULT STE-MARIE,5903,8,2012,46.485279,-84.500438,ON
KAPUSKASING,1403,1,2008,49.418308,-82.4701367,ON
HAMILTON,3321,14,2010,43.1685644,-79.9288234,ON
GILLAM,568,2,2010,56.357051,-94.705728,ON
PIKANGIKUM,1036,6,2003,51.820011,-93.974114,ON
FORT HOPE,1758,3,2006,51.561711,-87.906953,ON
TIMMINS,4519,4,2010,48.566513,-81.37204299999999,ON
SAULT STE-MARIE,4555,3,2010,46.485279,-84.500438,ON
EASTMAIN,622,2,2008,52.23078460000001,-78.5195816,ON
SANIKILUAQ,248,2,2010,56.53598599999999,-79.2461486,ON
VAL D'OR,2614,8,2014,48.05348799999999,-77.783177,ON
LANDSDOWNE HOUSE,389,4,2016,52.197559,-87.9351437,ON
HOLMAN,260,2,2008,44.9334686,-93.0601241,ON
SUDBURY,8113,6,2005,46.6228445,-80.7956531,ON
LESTER B. PEARSON,189365,383,2010,43.67771760000001,-79.6248197,ON
UMIUJAQ,598,2,2009,56.5392892,-76.5204693,ON
SACHIGO LAKE,730,3,2009,53.0641646,-93.3444368,ON
PIKANGIKUM,1351,6,2009,51.820011,-93.974114,ON
PICKLE LAKE,737,7,2009,51.44695249999999,-90.21150349999999,ON
WEMINDJI,379,3,2018,53.01061259999999,-78.8309781,ON
MUSKRAT DAM,852,3,2009,53.44177089999999,-91.761989,ON
HOLMAN,312,2,2010,44.9334686,-93.0601241,ON
GATINEAU,42,1,2009,45.5209515,-75.56147469999999,ON
SACHIGO LAKE,829,7,2008,53.0641646,-93.3444368,ON
GODS RIVER,110,4,2009,54.838142,-94.0564339,ON
WEBEQUIE,1939,9,2009,52.962098,-87.373893,ON
FORT HOPE,3172,6,2009,51.561711,-87.906953,ON
TIMMINS,4727,7,2015,48.566513,-81.37204299999999,ON
OTTAWA INTL,39497,110,2014,45.319212,-75.66916520000001,ON
FORT SEVERN,243,4,2004,56.0186303,-87.67922539999999,ON
ROUYN,1558,4,2009,48.2119059,-78.8292605,ON
SANDY LAKE,1097,5,2012,53.0641646,-93.3444368,ON
KITCHENER,345,2,2017,43.4557903,-80.3858475,ON
FORT SEVERN,352,4,2003,56.0186303,-87.67922539999999,ON
SANDY LAKE,958,9,2015,53.0641646,-93.3444368,ON
OTTAWA INTL,32091,60,2005,45.319212,-75.66916520000001,ON
KENORA,1323,6,2004,49.7867097,-94.3657982,ON
WEMINDJI,622,2,2003,53.01061259999999,-78.8309781,ON
KINGSTON,2700,4,2009,44.22349,-76.599458,ON
EASTMAIN,620,2,2009,52.23078460000001,-78.5195816,ON
VAL D'OR,2170,6,2009,48.05348799999999,-77.783177,ON
KAPUSKASING,1109,1,2010,49.418308,-82.4701367,ON
NEMISCAU,518,2,2009,51.69103699999999,-76.13552589999999,ON
ROUYN,1495,3,2011,48.2119059,-78.8292605,ON
MUSKRAT DAM,858,6,2003,53.44177089999999,-91.761989,ON
WEMINDJI,620,2,2009,53.01061259999999,-78.8309781,ON
WASKAGANISH,1290,5,2009,51.4756741,-78.751764,ON
SHAMATTAWA,682,3,2017,55.85942,-92.08208599999999,ON
HAMILTON,3842,21,2009,43.1685644,-79.9288234,ON
KENORA,1234,3,2005,49.7867097,-94.3657982,ON
NEMISCAU,516,2,2006,51.69103699999999,-76.13552589999999,ON
WEBEQUIE,379,4,2015,52.962098,-87.373893,ON
SIOUX LOOKOUT,8474,21,2009,50.1151029,-91.9027131,ON
SUDBURY,8016,6,2009,46.6228445,-80.7956531,ON
ATTAWAPISKAT,429,2,2005,52.9265542,-82.4304748,ON
RED LAKE,3787,8,2009,51.0669864,-93.7941053,ON
KENORA,1668,4,2009,49.7867097,-94.3657982,ON
NORTH BAY,2952,4,2013,46.3572071,-79.4270197,ON
KITCHENER,1721,3,2009,43.4557903,-80.3858475,ON
ROUYN,1692,4,2008,48.2119059,-78.8292605,ON
SAULT STE-MARIE,4333,3,2009,46.485279,-84.500438,ON
